Starting GearFight API Server on port 3205
Version: 5.1.3
Levels directory: /mnt/Work/1M/LevelDesign/games/level-design-gear-fight/LevelJsonData
Unity data directory: /mnt/Work/1M/LevelDesign/games/level-design-gear-fight/UnityProject
Found 134 level files
 * Serving Flask app 'api_server'
 * Debug mode: off
INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:3205
 * Running on http://192.168.1.207:3205
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 19:11:36] "GET /health HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 19:11:40] "GET /api/validation/report HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:14] "GET /level_editor.html HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:15] "GET /api/levels/list HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:15] "GET /api/enemies HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:15] "GET /api/structures HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:16] "GET /api/levels/1/1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:23] "GET /api/levels/1/2 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:23] "GET /api/levels/1/2 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:29] "GET /api/levels/1/2 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:30] "GET /api/levels/1/1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:31] "GET /api/levels/1/3 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:32] "GET /api/levels/1/2 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:32] "GET /api/levels/1/1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:33] "GET /api/levels/2/1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:33] "GET /api/levels/2/2 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:34] "GET /api/levels/1/2 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:36] "[36mGET /level_editor.html HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:36] "GET /api/levels/list HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:36] "GET /api/enemies HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:36] "GET /api/structures HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "[36mGET /level_editor.html HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/levels/list HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/enemies HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/structures HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "[36mGET /level_editor.html HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/levels/list HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/enemies HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/structures HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "[36mGET /level_editor.html HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/levels/list HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/enemies HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [18/Sep/2025 20:00:37] "GET /api/structures HTTP/1.1" 200 -
